Name,YoYoYo,Yuuutu,Nikaple,Renex,Verve,Lemon,Better
sprSpikeUp,sprSpikeUp,sprSpikeUp,sprSpikeUp,sprSpikeUp,sprSpikeUp,sprSpikeUp,sprSpikeUp
sprSpikeDown,sprSpikeDown,sprSpike,sprSpike,sprSpike,sprSpikeDown,sprSpikeDown,sprSpikeDown
sprSpikeLeft,sprSpikeLeft,sprSpikeLeft,sprSpikeLeft,sprSpikeLeft,sprSpikeLeft,sprSpikeLeft,sprSpikeLeft
sprSpikeRight,sprSpikeRight,sprSpikeRight,sprSpikeRight,sprSpikeRight,sprSpikeRight,sprSpikeRight,sprSpikeRight
sprMiniSpikeUp,sprMiniSpikeUp,sprminiSpikeUp,sprminiSpikeUp,sprMiniSpikeUp,sprMiniSpikeUp,,
sprMiniSpikeDown,sprMiniSpikeDown,sprminiSpikeDown,sprminiSpikeDown,sprMiniSpikeDown,sprMiniSpikeDown,,
sprMiniSpikeLeft,sprMiniSpikeLeft,sprminiSpikeLeft,sprminiSpikeLeft,sprMiniSpikeLeft,sprMiniSpikeLeft,,
sprMiniSpikeRight,sprMiniSpikeRight,sprminiSpikeRight,sprminiSpikeRight,sprMiniSpikeRight,sprMiniSpikeRight,,
sprCherry,sprCherry,sprCherry,sprCherry,sprCherry,sprCherry,sprCherry,sprFruit
sprMiku,sprMiku,sprmiku,sprmiku,sprMiku,,,
sprWater,sprWater,sprwater,sprwater,sprWater1,sprWater,sprWater,
sprWalljumpL,sprWalljumpL,sprite287,sprWalljumpL,sprWallJumpL,sprVineLeft,sprLvyL,sprWallJumpL
sprWalljumpR,sprWalljumpR,sprite288,sprWalljumpR,sprWallJumpR,sprVineRight,sprLvyR,sprWallJumpR
sprSign,sprSign,sprkanban,,sprKanban,sprSign,,
sprJumpRefresher,sprJumpRefresher,,,sprJumpRefresher,sprJumpRefresher,,
sprGravityUp,sprGravityUp,spr_ue,sprGravityUp,sprGravFlip,sprGravityUp,sprArrowUp,
sprGravityDown,sprGravityDown,spr_sita,sprGravityDown,sprGravNormal,sprGravityDown,sprArrowDown,
sprTriggerMask,sprTriggerMask,maskTrigger,maskTrigger,sprGenericTrigger,sprTriggerMask,maskTrigger,sprTrigger
sprButton,sprButton,,,sprSwitchRedWR,sprButtonRight,,
sprSaveMedium,sprSaveMedium,sprSavemedium,sprSaveMedium,sprSaveMedium,sprSaveMedium,sprSaveWuss,
sprSave,sprSave,sprSave,sprSave,sprSaveHard,sprSaveHard,sprSave,sprSavePoint
sprWarp,sprWarp,sprWarp,sprWarp,sprWarp,sprWarp,sprWarp,sprWarp
sprBossItem,sprBossItem,bossicon1,bossicon1,,sprBossItem,,
sprSecretItem,sprSecretItem,,itemicon1,,sprItem,,
objWorld,objWorld,world,world,World,World,block,block
objCamera,objCamera,camera,camera,,Camera,camera,camera
objPlayMusic,objPlayMusic,playMusic,,MusicPlayer,MusicPlayer,playMusic,
objTitleMenu,objTitleMenu,titleButton,titleButton,TitleMenu,Title,titleButton,
objDifficultyMenu,objDifficultyMenu,menuSelect,menuSelect,FileMenu,Menu,menuSelect,
objPlayer,objPlayer,player,player,Player,Player,player,player
objPlayerStart,objPlayerStart,playerStart,playerStart,PlayerStart,PlayerStart,playerStart,playerSpawn
objBow,objBow,bow,bow,,,bow,bow
objBullet,objBullet,bullet,bullet,Bullet,Bullet,bullet,bullet
objBloodEmitter,objBloodEmitter,bloodEmitter,bloodEmitter,BloodEmitter,BloodEmitter,bloodEmitter,bloodSquirt
objBlood,objBlood,blood,blood,Blood,Blood,blood,blood
objGameOver,objGameOver,GAMEOVER,GAMEOVER,GameOver,GameOver,GAMEOVER,GAMEOVER
objBlock,objBlock,block,block,Block,Block,block,block
objMiniBlock,objMiniBlock,miniblock,miniblock,MiniBlock,BlockMini,blockMini,
objSaveBlocker,objSaveBlocker,niseblock,bulletBlock,BulletBlock,SaveBlocker,,
objPlatform,objPlatform,platform,platform,Platform,Platform,platform,platform_parent
objMovingPlatform,objMovingPlatform,movingPlatform,movingPlatform,,,movingPlatform,
objSpikeUp,objSpikeUp,spikeUp,spikeUp,SpikeU,SpikeUp,spikeUp,SpikeUp
objSpikeDown,objSpikeDown,spikeDown,spikeDown,SpikeD,SpikeDown,spikeDown,SpikeDown
objSpikeLeft,objSpikeLeft,spikeLeft,spikeLeft,SpikeL,SpikeLeft,spikeLeft,SpikeLeft
objSpikeRight,objSpikeRight,spikeRight,spikeRight,SpikeR,SpikeRight,spikeRight,SpikeRight
objMiniSpikeUp,objMiniUp,minispikeUp,minispikeUp,MiniSpikeUp,MiniSpikeUp,,
objMiniSpikeDown,objMiniDown,minispikeDown,minispikeDown,MiniSpikeDown,MiniSpikeDown,,
objMiniSpikeLeft,objMiniLeft,minispikeLeft,minispikeLeft,MiniSpikeLeft,MiniSpikeLeft,,
objMiniSpikeRight,objMiniRight,minispikeRight,minispikeRight,MiniSpikeRight,MiniSpikeRight,,
objCherry,objCherry,deliciousFruit,deliciousFruit,Cherry,Cherry,cherry,fruit
objKillerBlock,objKillerBlock,damageblock,,KillBlock,KillerBlock,,
objPlayerKiller,objPlayerKiller,playerKiller,playerKiller,PlayerKiller,PlayerKiller,playerKiller,kill_character
objFreeTrigger,objFreeTrigger,trigger01,freeTrigger,Trigger,Trigger,triggerTouch,
objWater,objWater,objwater,objwater,Water1,WaterGroundJump,water,
objWater2,objWater2,objwater2,objwater2,Water2,Water,,
objWater3,objWater3,,,Water3,WaterRefreshing,,
objWalljumpR,objWalljumpR,WalljumpR,WalljumpR,WallJumpR,VineRight,lvyR,vineR
objWalljumpL,objWalljumpL,WalljumpL,WalljumpL,WallJumpL,VineLeft,lvyL,vineL
objJumpRefresher,objJumpRefresher,,,JumpRefresher,JumpRefresher,,
objSign,objSign,objkanban,,Signpost,Sign,,
objGravityUp,objGravityUp,obj_ue,objGravUp,GravFlip,GravityUp,gravUp,
objGravityDown,objGravityDown,obj_sita,objGravDown,GravNormal,GravityDown,gravDown,
objSave,objSave,savePoint,savePoint,SavePointHard,SaveHard,savePoint,SavePoint
objSaveFlip,objSaveFlip,savePoint2,,,SaveHardFlip,savePoint2,
objSaveMedium,objSaveMedium,savePointMedium,savePointMedium,SavePointMedium,SaveMedium,savePointMedium,WussSave
objSaveMediumFlip,objSaveMediumFlip,savePointMedium2,,,SaveMediumFlip,savePointMedium2,
objSaveVHard,objSaveVHard,savePointVHard,savePointVHard,SavePointVeryHard,SaveVeryHard,savePointHard,SaveHardCore
objSaveVHardFlip,objSaveVHardFlip,savePointVHard2,,,SaveVeryHardFlip,savePointHard2,
objWarpStart,objWarpStart,warpStart,warpStart,DifficultyWarp,,warpStart,
objRoomChanger,objRoomChanger,roomChanger,roomChanger,,RoomChanger,roomChanger,
objWarp,objWarp,warp,warp,Warp,Warp,warp,
objWarpAutosaveNext,objWarpAutosaveNext,,,,,,
objWarpNext,objWarpNext,,,,,,
objOutsideRoomChanger,objOutsideRoomChanger,outsideroomChanger,,OutsideWarp,,roomChanger,
objSecretItem,objSecretItem,,secretItem,,,getItem,
objSecretIndicator,objSecretIndicator,,secretItemViewer,,,showItem,
objBossItem,objBossItem,,bossItem,,,getBoss,
objBossIndicator,objBossIndicator,,bossItemViewer,,,showBoss,
objGameClear,objGameClear,objgameclear,objgameclear,,GameClear,,
scrPlayerJump,scrPlayerJump,playerJump,playerJump,player_jump,player_try_jump,playerJump,playerJump
scrPlayerVJump,scrPlayerVJump,playerVJump,,player_capjump,player_release_jump,playerVJump,playerVJump
scrPlayerShoot,scrPlayerShoot,playerShoot,playerShoot,player_shoot,player_shoot,playerShoot,playerShoot
scrFlipGrav,scrFlipGrav,,playerReverse,flip_player,player_flip,,
scrKillPlayer,scrKillPlayer,killPlayer,killPlayer,kill_player,player_kill,killPlayer,killPlayer
scrSetGlobalOptions,scrSetGlobalOptions,SetGlobalOptions,setGlobals,engine_settings,engine_settings,initSetGlobals,global_init
scrSaveGame,scrSaveGame,saveGame,saveGame,savedata_save,save_save,saveGame,savegame
scrLoadGame,scrLoadGame,loadGame,loadGame,savedata_load,save_load,loadGame,loadgame
scrGetMusic,scrGetMusic,,musicFunctions,,music_get_room_bgm,,musicFunctions
